62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: May 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,49,43,6,87.76%,,25,5,5,8,1,0.5,2,2.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27.5,19,8.5,69.09%,,6,1,3.5,8.5,1.5,3.5,2,1.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,32,26,6,81.25%,,13,1,5,7,1,2,2,1
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NON-ADMITTED,ALL CANCERS,103.5,85.5,18,82.61%,,39,14,22,10.5,10,5,2,1
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,38,33,5,86.84%,,14,6,5.5,7.5,2,0.5,2,0.5
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NON-ADMITTED,ALL CANCERS,49.5,41,8.5,82.83%,,20,5,8,8,3,3,1,1.5
,RBK,WALSALL HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,16,12,4,75.00%,,9,2,1,0,1,1.5,0,1.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19,14.5,4.5,76.32%,,5,0.5,5.5,3.5,0,1.5,1,2
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,31,24,7,77.42%,,9.5,1,5.5,8,3,3.5,0,0.5
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14.5,13,1.5,89.66%,,5,0,5,3,1,0,0,0.5
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51,43,8,84.31%,,13,8,6,16,2.5,1.5,1.5,2.5
,RA3,WESTON AREA HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,11.5,9.5,2,82.61%,,4,3,1,1.5,0,0.5,0,1.5
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23.5,19.5,4,82.98%,,7,3,4,5.5,1.5,1,0.5,1
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,62,52,10,83.87%,,27,9,5,11,0,4,2,4
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,13,11,2,84.62%,,6.5,1,1,2.5,2,0,0,0
,RLQ,WYE VALLEY NHS TRUST,NON-ADMITTED,ALL CANCERS,11,8,3,72.73%,,1,1,3,3,3,0,0,0
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17,14.5,2.5,85.29%,,6,2,2,4.5,1.5,1,0,0
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,45.5,41,4.5,90.11%,,27,5,3,6,1.5,2.5,0,0.5
,AQK,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,5.5,5,0.5,90.91%,,4,1,0,0,0.5,0,0,0
,NQT,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0,0,0,0
,NV3,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,6,5.5,0.5,91.67%,,2.5,0,0,3,0.5,0,0,0
,NWV,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,6,4.5,1.5,75.00%,,0.5,0.5,1,2.5,0.5,0.5,0,0.5
,NYT,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,NON-ADMITTED,ALL CANCERS,4618,3813,805,82.57%,,1740,476,653,944,269,246,115,175
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART C:ALL CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57.5,47,10.5,81.74%,,16,2,9.5,19.5,3.5,3.5,1.5,2
,RCF,AIREDALE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,31.5,29,2.5,92.06%,,10,6,4,9,0,1,1,0.5
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,54.5,43.5,11,79.82%,,19,7,4,13.5,1.5,3,2.5,4
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ALL CARE,ALL CANCERS,108,76.5,31.5,70.83%,,20,9,17.5,30,14,9,1,7.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,36,28.5,7.5,79.17%,,10,3.5,6.5,8.5,1,1.5,1,4
,R1H,BARTS HEALTH NHS TRUST,ALL CARE,ALL CANCERS,123,101,22,82.11%,,21,14.5,22,43.5,4.5,9,5,3.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,79,53.5,25.5,67.72%,,23,6,11.5,13,8.5,8.5,2,6.5
,RC1,BEDFORD HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,58,52,6,89.66%,,30,3,11,8,2,0,1,3
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,2.5,2,0.5,80.00%,,0,0.5,0.5,1,0,0,0,0.5
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,75,65,10,86.67%,,23.5,8,17.5,16,2,6,1,1
,RMC,BOLTON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,50,49,1,98.00%,,21,6.5,6.5,15,0.5,0,0,0.5
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,73,63.5,9.5,86.99%,,21.5,6,17.5,18.5,2.5,4,1.5,1.5
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,10,10,0,100.00%,,8,1,1,0,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,117,90.5,26.5,77.35%,,44,5,12.5,29,8.5,8.5,2.5,7
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,92.5,78,14.5,84.32%,,27,13,18.5,19.5,6,2.5,3.5,2.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,50,43,7,86.00%,,14,6,6,17,2,1.5,3.5,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,70,62,8,88.57%,,18,11.5,12.5,20,4,1.5,1.5,1
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,102,87,15,85.29%,,33.5,12.5,18.5,22.5,5.5,6,0.5,3
,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,59.5,52.5,7,88.24%,,18.5,3,9,22,2,1.5,1,2.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,44,35.5,8.5,80.68%,,14.5,4,6.5,10.5,2,3.5,2.5,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,50.5,40,10.5,79.21%,,16,3.5,7,13.5,2.5,2,2,4
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,73.5,60.5,13,82.31%,,14,3.5,17,26,2.5,5,3.5,2
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,98.5,69,29.5,70.05%,,23,11.5,14,20.5,10.5,8.5,4,6.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,40,35,5,87.50%,,12,5,4.5,13.5,2,2,1,0
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,107.5,91,16.5,84.65%,,39,17,15.5,19.5,5.5,5,1.5,4.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ALL CARE,ALL CANCERS,49,41,8,83.67%,,8.5,9,9.5,14,4,1,0.5,2.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ALL CARE,ALL CANCERS,41,35,6,85.37%,,6.5,6,8,14.5,0.5,3,1,1.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,113,93,20,82.30%,,25,17.5,17.5,33,10,3,2.5,4.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,85.5,77,8.5,90.06%,,33.5,10,16.5,17,1.5,3.5,1.5,2
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,61,47.5,13.5,77.87%,,12.5,5,12.5,17.5,6,3.5,1.5,2.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ALL CARE,ALL CANCERS,85,69.5,15.5,81.76%,,17.5,14.5,12,25.5,5,4.5,3,3
,RJN,EAST CHESHIRE NHS TRUST,ALL CARE,ALL CANCERS,35.5,29.5,6,83.10%,,13,1,5.5,10,3.5,1.5,1,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,177.5,141,36.5,79.44%,,45,18,26,52,19,8,3.5,6
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,112,93,19,83.04%,,33,11.5,18.5,30,5,6.5,2,5.5
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,132.5,90.5,42,68.30%,,38,17,15.5,20,15,11,5.5,10.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,57.5,49.5,8,86.09%,,18.5,9,7.5,14.5,2.5,2,0.5,3
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,134,123,11,91.79%,,54,19,15.5,34.5,3,2.5,1.5,4
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,49.5,43,6.5,86.87%,,12,13,5.5,12.5,2,3,0.5,1
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,19.5,16.5,3,84.62%,,4.5,0.5,5.5,6,1.5,0.5,0,1
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,149.5,116,33.5,77.59%,,48,13,20,35,6,7,5,15.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,61,53,8,86.89%,,23,8,9,13,3.5,2.5,2,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,105.5,73.5,32,69.67%,,14.5,9.5,19.5,30,11.5,7.5,6.5,6.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,117,105,12,89.74%,,51.5,14.5,18,21,3.5,6.5,2,0
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,43,39.5,3.5,91.86%,,23.5,2,10.5,3.5,1,0.5,1.5,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,154.5,136,18.5,88.03%,,32.5,23,40.5,40,10,2.5,2.5,3.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ALL CARE,ALL CANCERS,27,24,3,88.89%,,5,4.5,5,9.5,0.5,2.5,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,23,21,2,91.30%,,9,4,2,6,1,0.5,0.5,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,145.5,118,27.5,81.10%,,31,13,20.5,53.5,7.5,7,7.5,5.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,77.5,50,27.5,64.52%,,14.5,0.5,17,18,6,7,5.5,9
,RGQ,IPSWICH HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,94,80,14,85.11%,,28,12.5,22.5,17,9,1,3,1
,R1F,ISLE OF WIGHT NHS TRUST,ALL CARE,ALL CANCERS,40,31,9,77.50%,,16,5.5,1,8.5,4,3,1.5,0.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,64.5,58,6.5,89.92%,,27,6,7,18,1.5,2,2,1
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,81,74,7,91.36%,,16.5,10,14,33.5,2.5,1.5,1.5,1.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,104,84,20,80.77%,,21.5,15,21,26.5,8.5,4,4,3.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,39.5,36,3.5,91.14%,,17.5,4,6,8.5,2,0.5,0.5,0.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,103.5,79,24.5,76.33%,,21.5,13.5,12,32,13,4,5,2.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,170.5,137,33.5,80.35%,,31,21.5,32.5,52,11.5,11.5,4.5,6
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ALL CARE,ALL CANCERS,70.5,60,10.5,85.11%,,13.5,13,12,21.5,3.5,3,2,2
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,23,20,3,86.96%,,10,1,4,5,1.5,1.5,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,10.5,9,1.5,85.71%,,1,0,0.5,7.5,0.5,0,1,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,77.5,59,18.5,76.13%,,20,9.5,10.5,19,5.5,5,5,3
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,63.5,56,7.5,88.19%,,24,5,9.5,17.5,3,0.5,0.5,3.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ALL CARE,ALL CANCERS,108,83.5,24.5,77.31%,,19.5,5,17,42,7.5,4,4.5,8.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,63.5,51.5,12,81.10%,,5.5,17,14,15,4,2.5,2.5,3
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,54,52,2,96.30%,,15.5,9,12.5,15,0.5,1,0.5,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ALL CARE,ALL CANCERS,96.5,68.5,28,70.98%,,21,7.5,21.5,18.5,13.5,7,5.5,2
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,86.5,75,11.5,86.71%,,23,11,16,25,2.5,5.5,1,2.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,53.5,46,7.5,85.98%,,17,8,10,11,3,3,0,1.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,168,138,30,82.14%,,56,15.5,14,52.5,10.5,8.5,7.5,3.5
,RVJ,NORTH BRISTOL NHS TRUST,ALL CARE,ALL CANCERS,137,114.5,22.5,83.58%,,48,17.5,21.5,27.5,8.5,7,3.5,3.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,78,60,18,76.92%,,21.5,6,9.5,23,7.5,3,2.5,5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,25.5,19.5,6,76.47%,,6,2.5,4.5,6.5,3,1.5,0.5,1
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,67,59,8,88.06%,,25,7,7.5,19.5,1.5,4,0.5,2
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,76.5,58.5,18,76.47%,,16,16,12,14.5,5,4,5.5,3.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,43,38,5,88.37%,,12.5,9,10.5,6,2.5,1,1,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,103.5,84.5,19,81.64%,,23,10,11.5,40,2.5,6,2.5,8
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,56,45,11,80.36%,,13,10.5,13,8.5,2,4,2.5,2.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,159.5,125.5,34,78.68%,,42,16.5,27.5,39.5,10.5,9.5,6,8
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,166,135.5,30.5,81.63%,,57,18.5,26,34,8,8.5,7.5,6.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,3.5,2,1.5,57.14%,,0.5,0,0,1.5,0.5,0.5,0,0.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,120.5,109.5,11,90.87%,,29.5,10.5,22.5,47,2,4.5,2,2.5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,71,57.5,13.5,80.99%,,18,8,13,18.5,6.5,3.5,2.5,1
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,132,102.5,29.5,77.65%,,38.5,19.5,13,31.5,8,10,5.5,6
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57.5,49,8.5,85.22%,,10,10.5,7,21.5,1.5,2.5,2.5,2
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,126.5,95,31.5,75.10%,,23,9,21,42,6,18,4.5,3
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,20,13.5,6.5,67.50%,,8.5,1.5,1,2.5,1.5,1,3,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,96,81.5,14.5,84.90%,,29,5.5,20.5,26.5,5,2.5,2,5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,9,5.5,3.5,61.11%,,0,0,2,3.5,2,0.5,0.5,0.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,124.5,109,15.5,87.55%,,51,11,15,32,2.5,4,3,6
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,172.5,133.5,39,77.39%,,66,12,25,30.5,13.5,12.5,7.5,5.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,124,100.5,23.5,81.05%,,23.5,9,23.5,44.5,10,3,5,5.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,32.5,28,4.5,86.15%,,12.5,3.5,5.5,6.5,1,1,1.5,1
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,3.5,3,0.5,85.71%,,0,0,1.5,1.5,0,0.5,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,78,59.5,18.5,76.28%,,16,4.5,10,29,3,2.5,4,9
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,90.5,79.5,11,87.85%,,36,7,17.5,19,5.5,3,1,1.5
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,63.5,58,5.5,91.34%,,38.5,3.5,4.5,11.5,2.5,0.5,1,1.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,48,43,5,89.58%,,13,14.5,11.5,4,2.5,1.5,0,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,70,59,11,84.29%,,16.5,10.5,10.5,21.5,2.5,3,4.5,1
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,163,116.5,46.5,71.47%,,28.5,20,24.5,43.5,11,15.5,8,12
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,63.5,53.5,10,84.25%,,18,13.5,5.5,16.5,4,1.5,1,3.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,120.5,99,21.5,82.16%,,30,17,20.5,31.5,3,7.5,7,4
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,141.5,115.5,26,81.63%,,37.5,20,25.5,32.5,9,7.5,2.5,7
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,16,14.5,1.5,90.63%,,4,3,1.5,6,1,0.5,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,51.5,44.5,7,86.41%,,14,3,13,14.5,2.5,1.5,0,3
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,82,52.5,29.5,64.02%,,13,8,15.5,16,8,9,6.5,6
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,50.5,36,14.5,71.29%,,12.5,4.5,6,13,8,2,2.5,2
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,72,55,17,76.39%,,17,5,13,20,1,6,2.5,7.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ALL CARE,ALL CANCERS,100.5,88.5,12,88.06%,,41,11.5,7.5,28.5,4,3.5,3,1.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,42,37.5,4.5,89.29%,,15,7,8,7.5,1.5,2.5,0,0.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,79.5,68.5,11,86.16%,,23,12.5,17,16,2.5,4.5,2,2
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,38.5,35.5,3,92.21%,,13,3.5,6,13,0,1.5,1,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,95.5,73,22.5,76.44%,,22.5,17,17,16.5,7.5,7.5,3.5,4
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,82,55.5,26.5,67.68%,,3,6.5,14,32,9.5,8,5.5,3.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,55.5,35,20.5,63.06%,,7,3,9,16,5.5,5.5,3,6.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,90.5,76,14.5,83.98%,,28,9,15.5,23.5,6.5,4.5,2,1.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,30,29,1,96.67%,,12.5,3.5,4,9,0,0.5,0,0.5
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,181,152,29,83.98%,,58,10,27,57,9,10.5,3.5,6
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,38,28,10,73.68%,,8,6.5,4,9.5,5.5,3.5,0.5,0.5
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ALL CARE,ALL CANCERS,64.5,51.5,13,79.84%,,18,12,12.5,9,7,3,1.5,1.5
