62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: July 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37,29,8,78.38%,,14,3,6,6,2,1,1,4
E18000007,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14,13.5,0.5,96.43%,,6,5,1.5,1,0,0.5,0,0
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,67.5,57,10.5,84.44%,,37,5.5,2.5,12,2.5,1.5,2,4.5
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,29.5,26,3.5,88.14%,,10,3,7.5,5.5,2.5,0,1,0
E18000006,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,32,22,10,68.75%,,12,0,5,5,5,1,1.5,2.5
E18000005,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,14,1.5,90.32%,,5,1,3,5,0.5,0,0.5,0.5
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51,45,6,88.24%,,16,3.5,10,15.5,2,1.5,2.5,0
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18.5,13,5.5,70.27%,,3,2,3,5,1.5,1,1.5,1.5
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NON-ADMITTED,ALL CANCERS,39,27.5,11.5,70.51%,,14,1,0,12.5,1,2,3,5.5
E18000002,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,4,4,0,100.00%,,0,1,2,1,0,0,0,0
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,63,50,13,79.37%,,32,7,4,7,5,2,3,3
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11.5,6.5,5,56.52%,,1,0,3,2.5,0,2.5,1,1.5
E18000005,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,48.5,37.5,11,77.32%,,14,3,7,13.5,5,1,0.5,4.5
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,5,4,1,80.00%,,1,0,1,2,0,0.5,0.5,0
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,85.5,76.5,9,89.47%,,33,9,14,20.5,2.5,3,2,1.5
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44.5,33,11.5,74.16%,,8,7,8,10,4.5,3.5,1,2.5
E18000010,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19.5,15,4.5,76.92%,,5,1,2,7,0,0.5,2,2
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,25.5,19,6.5,74.51%,,2,3,4.5,9.5,0.5,2,2,2
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NON-ADMITTED,ALL CANCERS,80,71,9,88.75%,,23,12,22,14,5,4,0,0
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36,33,3,91.67%,,18,3,9,3,0,1.5,0.5,1
E18000005,RBK,WALSALL HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,19,13.5,5.5,71.05%,,9,1,1.5,2,0,1.5,0,4
E18000002,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,11.5,4.5,71.88%,,4.5,0,1,6,1,1,0.5,2
E18000006,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,35,31.5,3.5,90.00%,,16,5.5,4,6,2,0.5,0,1
E18000007,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,18,17,1,94.44%,,8,3,2.5,3.5,0,0,1,0
E18000006,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12,10,2,83.33%,,4,1,3,2,1,0,0.5,0.5
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,48,45.5,2.5,94.79%,,20.5,4,8,13,1,1,0.5,0
E18000010,RA3,WESTON AREA HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,9.5,8,1.5,84.21%,,5,0,1,2,0,1,0,0.5
E18000002,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32.5,30.5,2,93.85%,,15.5,4,2.5,8.5,0.5,1,0,0.5
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,74,60,14,81.08%,,31,4,7.5,17.5,2.5,5,3,3.5
E18000002,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,18,14.5,3.5,80.56%,,6,3,3.5,2,1.5,0,0.5,1.5
E18000005,RLQ,WYE VALLEY NHS TRUST,NON-ADMITTED,ALL CANCERS,10.5,6.5,4,61.90%,,4,1,0,1.5,2,0,0,2
E18000010,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15,14,1,93.33%,,6,2,1,5,0,1,0,0
E18000003,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,45.5,38.5,7,84.62%,,24,3,4.5,7,3.5,1,2,0.5
N/A,NYT,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,4,4,0,100.00%,,4,0,0,0,0,0,0,0
N/A,NWV,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
N/A,NVM,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,2.5,2,0.5,80.00%,,1,0.5,0.5,0,0.5,0,0,0
N/A,NV3,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,4,3.5,0.5,87.50%,,2,1,0,0.5,0,0,0,0.5
E18000009,5QT,DISCONTINUED ORGANISATION,NON-ADMITTED,ALL CANCERS,1,0,1,0.00%,,0,0,0,0,0.5,0,0,0.5
E18000002,5NM,DISCONTINUED ORGANISATION,NON-ADMITTED,ALL CANCERS,2,2,0,100.00%,,0.5,0,1,0.5,0,0,0,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,NON-ADMITTED,ALL CANCERS,4570,3793,777,83.00%,,1717,442,669,965,251,182,132,212
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART C:ALL CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
ONS AREA ID (1),ODS CODE (2),ACCOUNTABLE PROVIDER,CARE SETTING (3),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,52.5,44,8.5,83.81%,,15,9,13.5,6.5,5,2,1.5,0
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,43,39.5,3.5,91.86%,,14,9,7.5,9,0,0.5,1,2
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,65.5,52.5,13,80.15%,,25.5,4.5,8,14.5,3,7.5,2,0.5
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ALL CARE,ALL CANCERS,129,95.5,33.5,74.03%,,23,18.5,15,39,7,11.5,4,11
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,40.5,31.5,9,77.78%,,15,6,5.5,5,1.5,3,1.5,3
E18000007,R1H,BARTS HEALTH NHS TRUST,ALL CARE,ALL CANCERS,123.5,96.5,27,78.14%,,33,13,13.5,37,9,5.5,4,8.5
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,81,60.5,20.5,74.69%,,27,10.5,8,15,5,5,1.5,9
E18000006,RC1,BEDFORD HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,50.5,46.5,4,92.08%,,15.5,7.5,4,19.5,1,1.5,0,1.5
E18000005,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
E18000005,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,5,5,0,100.00%,,1.5,0,1.5,2,0,0,0,0
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,84.5,73.5,11,86.98%,,34,3.5,13.5,22.5,3.5,2.5,2,3
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,56.5,53,3.5,93.81%,,19.5,11,9.5,13,1.5,1,0.5,0.5
E18000003,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,91.5,82,9.5,89.62%,,29,10,12,31,2,1.5,3.5,2.5
E18000002,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,4,4,0,100.00%,,4,0,0,0,0,0,0,0
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,118.5,87.5,31,73.84%,,46.5,8.5,11,21.5,6,4.5,2.5,18
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,76.5,65.5,11,85.62%,,25,10,11,19.5,5.5,1.5,2,2
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,37.5,32,5.5,85.33%,,14,5,4,9,1.5,3.5,0.5,0
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,94.5,84.5,10,89.42%,,23.5,14,18,29,3.5,1,2,3.5
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,124,90.5,33.5,72.98%,,29,18.5,19.5,23.5,12.5,8,4.5,8.5
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,62,52.5,9.5,84.68%,,22,3.5,7,20,2,4,1.5,2
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,20.5,19.5,1,95.12%,,8.5,1.5,1,8.5,1,0,0,0
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57,49.5,7.5,86.84%,,20,3,13.5,13,4,2.5,1,0
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,78,69.5,8.5,89.10%,,13,7,14,35.5,2.5,4,1,1
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,116.5,80,36.5,68.67%,,30,12,15,23,8.5,10.5,8.5,9
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,59,55.5,3.5,94.07%,,20.5,5,12.5,17.5,0.5,1,0.5,1.5
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,114.5,104.5,10,91.27%,,36.5,14.5,21,32.5,4,2,2.5,1.5
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ALL CARE,ALL CANCERS,59.5,48.5,11,81.51%,,12.5,6,15,15,2.5,2,3.5,3
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ALL CARE,ALL CANCERS,52,44,8,84.62%,,11,4,8,21,0,4,2.5,1.5
E18000004,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,113,84.5,28.5,74.78%,,20,11,23,30.5,9,8.5,5.5,5.5
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,83,70,13,84.34%,,30.5,8,14.5,17,4.5,1,4,3.5
E18000010,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,58,49.5,8.5,85.34%,,20,5,8,16.5,3,1,1,3.5
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ALL CARE,ALL CANCERS,95.5,76.5,19,80.10%,,33.5,14,14.5,14.5,8.5,4,3,3.5
E18000002,RJN,EAST CHESHIRE NHS TRUST,ALL CARE,ALL CANCERS,46.5,42,4.5,90.32%,,14,5,9,14,3,0,1,0.5
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,159,104.5,54.5,65.72%,,39,11,16,38.5,13,8,13.5,20
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,102,87,15,85.29%,,41,10,15,21,7.5,2,1.5,4
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,137.5,104,33.5,75.64%,,38,19.5,19.5,27,8.5,7,4.5,13.5
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,64,47,17,73.44%,,10.5,8.5,11,17,3.5,8.5,2,3
E18000008,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57.5,50,7.5,86.96%,,14,8,8.5,19.5,0,2,2,3.5
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,70,61.5,8.5,87.86%,,22,5,11,23.5,6,1,1,0.5
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,26.5,23,3.5,86.79%,,14.5,4,0,4.5,0.5,1.5,1,0.5
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,160,111,49,69.38%,,34.5,10,20.5,46,16,7,7,19
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,62,53.5,8.5,86.29%,,26,5,11,11.5,4,3.5,0,1
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,138.5,92.5,46,66.79%,,28.5,8,20.5,35.5,13,10,9,14
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,108,94,14,87.04%,,36,20,18,20,3.5,5,1.5,4
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,66.5,58,8.5,87.22%,,24.5,8,10.5,15,2,3,1,2.5
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,134,105,29,78.36%,,23,16,23.5,42.5,8.5,10,3.5,7
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,78.5,69.5,9,88.54%,,27,12,11.5,19,1.5,2,1.5,4
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ALL CARE,ALL CANCERS,36,31,5,86.11%,,13.5,4.5,6,7,3,1.5,0,0.5
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,25,22.5,2.5,90.00%,,9,6,2.5,5,1.5,0,0.5,0.5
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,144.5,110,34.5,76.12%,,32.5,15,19,43.5,11,8.5,5.5,9.5
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,79,63,16,79.75%,,13,6,14,30,2.5,5.5,4,4
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,95,80,15,84.21%,,33,15.5,14,17.5,10,1.5,1,2.5
E18000009,R1F,ISLE OF WIGHT NHS TRUST,ALL CARE,ALL CANCERS,48,40.5,7.5,84.38%,,18,8,5.5,9,4,1,1.5,1
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,50.5,42.5,8,84.16%,,13,9,11,9.5,4,1.5,2.5,0
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,66,55.5,10.5,84.09%,,14.5,6.5,8,26.5,2,4.5,1,3
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,128.5,111.5,17,86.77%,,49,13,19.5,30,6.5,5.5,2.5,2.5
E18000007,RAX,KINGSTON HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,58.5,52,6.5,88.89%,,17.5,15,7.5,12,3,1,1,1.5
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,131.5,106.5,25,80.99%,,26.5,13.5,30.5,36,8,7,4,6
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,204.5,167,37.5,81.66%,,35.5,30,30,71.5,4.5,7,9.5,16.5
E18000007,RJ2,LEWISHAM HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,74.5,63,11.5,84.56%,,19.5,7,21.5,15,3.5,3.5,2,2.5
E18000002,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,15.5,13.5,2,87.10%,,4,3.5,1.5,4.5,0.5,1.5,0,0
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,14,13.5,0.5,96.43%,,3.5,1.5,1,7.5,0,0,0.5,0
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,74.5,60,14.5,80.54%,,24.5,8,8,19.5,4,5,1,4.5
E18000006,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,62,54.5,7.5,87.90%,,15.5,13,12.5,13.5,0.5,1,2,4
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ALL CARE,ALL CANCERS,102,81,21,79.41%,,14,16.5,15,35.5,5.5,3.5,5.5,6.5
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,4,2,2,50.00%,,0,0,0,2,1,0,0,1
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57.5,56,1.5,97.39%,,18.5,10.5,16,11,0,1,0,0.5
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ALL CARE,ALL CANCERS,81,58.5,22.5,72.22%,,17.5,7.5,15.5,18,7.5,5,3,7
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,122,109.5,12.5,89.75%,,30.5,17.5,21.5,40,4.5,3,3.5,1.5
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,42,36,6,85.71%,,9,6.5,7,13.5,3,2.5,0,0.5
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,146,107,39,73.29%,,31,7.5,25.5,43,14,12,6,7
E18000010,RVJ,NORTH BRISTOL NHS TRUST,ALL CARE,ALL CANCERS,132.5,110.5,22,83.40%,,41,10.5,27,32,6,6,4.5,5.5
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,84.5,62,22.5,73.37%,,18,9.5,14,20.5,7,4,6,5.5
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,19,16.5,2.5,86.84%,,3.5,0,0.5,12.5,1,0,0,1.5
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57,49,8,85.96%,,10,14,7.5,17.5,3,2,1,2
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,105,78.5,26.5,74.76%,,26.5,9.5,9.5,33,7,5.5,7.5,6.5
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,36,26,10,72.22%,,12.5,3,5.5,5,5,2,1,2
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,76.5,63,13.5,82.35%,,15,6,14.5,27.5,5,3,2.5,3
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,74.5,67,7.5,89.93%,,14,13,19,21,5.5,2,0,0
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,149.5,126,23.5,84.28%,,47,17,25,37,6,7.5,1,9
E18000009,RBF,NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST,ALL CARE,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,181,156.5,24.5,86.46%,,68,22,32,34.5,12,4.5,4,4
E18000006,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,115,100,15,86.96%,,31.5,15.5,19,34,2.5,3.5,3.5,5.5
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,99,88.5,10.5,89.39%,,30,13,19,26.5,3,1,3.5,3
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,146,117.5,28.5,80.48%,,43,17.5,22,35,12,4.5,3,9
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,67.5,51,16.5,75.56%,,10.5,3.5,21,16,4.5,4,4,4
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,120.5,100.5,20,83.40%,,26.5,16.5,20.5,37,7.5,4,5,3.5
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,17.5,16,1.5,91.43%,,7.5,2.5,3.5,2.5,1.5,0,0,0
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,125.5,93,32.5,74.10%,,33.5,9,16,34.5,10,9,4,9.5
E18000007,RT3,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,5.5,3,2.5,54.55%,,0,0.5,0.5,2,0,0.5,0.5,1.5
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,132,116,16,87.88%,,61,11,20,24,6,4.5,2,3.5
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,152.5,113.5,39,74.43%,,39,17.5,29.5,27.5,15,5,7,12
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,121.5,87.5,34,72.02%,,36.5,11,16.5,23.5,11.5,6,6,10.5
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,48.5,41.5,7,85.57%,,16,6.5,8,11,1.5,3.5,0.5,1.5
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,6.5,5.5,1,84.62%,,0.5,0,0.5,4.5,0.5,0.5,0,0
