62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: September 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NON-ADMITTED,ALL CANCERS,55,38.5,16.5,70.00%,,18,5.5,6,9,5.5,7,1,3
,RBK,WALSALL HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,20.5,15,5.5,73.17%,,8,1,3,3,2,0,3,0.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14.5,11.5,3,79.31%,,2.5,1,0.5,7.5,0,1.5,1,0.5
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,32,24.5,7.5,76.56%,,14,2.5,2,6,5.5,0,1,1
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,30,2,93.75%,,22,2,4,2,1,0.5,0,0.5
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,55.5,47,8.5,84.68%,,14.5,8,14.5,10,1,2.5,0,5
,RA3,WESTON AREA HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,11,7.5,3.5,68.18%,,2,2,1,2.5,1,1,1,0.5
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,26.5,5.5,82.81%,,10.5,3.5,4,8.5,2.5,1,1.5,0.5
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,57,45.5,11.5,79.82%,,28.5,2,5,10,4.5,5.5,1.5,0
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,18.5,17,1.5,91.89%,,7.5,1,4,4.5,0,1,0.5,0
,RLQ,WYE VALLEY NHS TRUST,NON-ADMITTED,ALL CANCERS,5.5,3.5,2,63.64%,,1,1,0,1.5,0.5,1.5,0,0
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,10.5,10,0.5,95.24%,,5,2,1,2,0,0,0,0.5
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,52,46,6,88.46%,,27.5,4.5,8,6,2,3.5,0,0.5
,NV3,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,8,7,1,87.50%,,2,1,2,2,0,0.5,0,0.5
,NVM,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,5,5,0,100.00%,,1,0,1.5,2.5,0,0,0,0
,NWV,INDEPENDENT ORGANISATION,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
,5NM,DISCONTINUED ORGANISATION,NON-ADMITTED,ALL CANCERS,1,1,0,100.00%,,0.5,0,0,0.5,0,0,0,0
,5PL,DISCONTINUED ORGANISATION,NON-ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0.5,0,0,0,0,0,0.5,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,NON-ADMITTED,ALL CANCERS,4571,3791,780,82.94%,,1604,476,692,1019,243,199,124,214
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART C:ALL CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER,CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57.5,49,8.5,85.22%,,14.5,9.5,10,15,3,0.5,1,4
,RCF,AIREDALE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,35,31,4,88.57%,,6.5,5,7,12.5,1,1.5,1,0.5
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,66,58.5,7.5,88.64%,,19.5,6,11.5,21.5,2.5,3,2,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ALL CARE,ALL CANCERS,110,76.5,33.5,69.55%,,16,9,18.5,33,11,7.5,3,12
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,38.5,33,5.5,85.71%,,11,7.5,9.5,5,2.5,1.5,0.5,1
,R1H,BARTS HEALTH NHS TRUST,ALL CARE,ALL CANCERS,110.5,83,27.5,75.11%,,27.5,7,12.5,36,8.5,7.5,2,9.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,70.5,54,16.5,76.60%,,24.5,5.5,7,17,5,4,2.5,5
,RC1,BEDFORD HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,45,41.5,3.5,92.22%,,15,4,5,17.5,2.5,1,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,1,0.5,0.5,50.00%,,0,0,0,0.5,0,0,0.5,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,81,74,7,91.36%,,20.5,8.5,12.5,32.5,1,3,1.5,1.5
,RMC,BOLTON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,52,46,6,88.46%,,19,8,6,13,2,2,0,2
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,84,73,11,86.90%,,21,7.5,10,34.5,3,3.5,1.5,3
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,7,7,0,100.00%,,7,0,0,0,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,97.5,80,17.5,82.05%,,32.5,15.5,7.5,24.5,4,3.5,1.5,8.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,87.5,79,8.5,90.29%,,22,15,20,22,2.5,4.5,0.5,1
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,40,37.5,2.5,93.75%,,15,3,8,11.5,1,0.5,0,1
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,75.5,68,7.5,90.07%,,22.5,10.5,14.5,20.5,2,3.5,2,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,139.5,111,28.5,79.57%,,38.5,20,28.5,24,9.5,9.5,0.5,9
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,47,36,11,76.60%,,6.5,5,4.5,20,1,3.5,1.5,5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,54.5,48.5,6,88.99%,,18.5,4,9,17,2.5,2,1,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,85.5,74.5,11,87.13%,,20,12.5,19,23,6.5,2.5,1.5,0.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,76,61.5,14.5,80.92%,,18,2.5,22.5,18.5,5,2.5,1.5,5.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,89.5,60.5,29,67.60%,,14,8,15.5,23,8,12,3,6
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,58.5,52.5,6,89.74%,,16.5,10.5,9,16.5,2,1.5,0.5,2
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,114.5,103,11.5,89.96%,,37,14,23,29,3,5.5,2,1
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ALL CARE,ALL CANCERS,59,49,10,83.05%,,21.5,3,12,12.5,2,3,1,4
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ALL CARE,ALL CANCERS,36,31.5,4.5,87.50%,,2,3,9.5,17,4,0.5,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,124,93,31,75.00%,,24,14,27,28,13,6.5,5,6.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,84.5,73,11.5,86.39%,,39.5,7,11,15.5,2.5,3,3,3
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,52,46.5,5.5,89.42%,,12,3.5,12,19,2,0,0.5,3
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ALL CARE,ALL CANCERS,95,75,20,78.95%,,28,13,7.5,26.5,1.5,5.5,3.5,9.5
,RJN,EAST CHESHIRE NHS TRUST,ALL CARE,ALL CANCERS,47.5,43.5,4,91.58%,,12.5,13.5,5.5,12,0.5,2,1,0.5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,193.5,136.5,57,70.54%,,48,8.5,24,56,20,12,6,19
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,86,74,12,86.05%,,18.5,15,11.5,29,2.5,5,2.5,2
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,115.5,86,29.5,74.46%,,22.5,9.5,21.5,32.5,10.5,10,2,7
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,63.5,51,12.5,80.31%,,14.5,6.5,14.5,15.5,4.5,2.5,2.5,3
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,45.5,39,6.5,85.71%,,13,6,7.5,12.5,2,1.5,2.5,0.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,50,40.5,9.5,81.00%,,10,7.5,8.5,14.5,5.5,1.5,2,0.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,31.5,29.5,2,93.65%,,10,4.5,2,13,0,0.5,0,1.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,149.5,109.5,40,73.24%,,28,10,23.5,48,18.5,7.5,7,7
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,62,53,9,85.48%,,20,5,11.5,16.5,3.5,2.5,1.5,1.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,116,83.5,32.5,71.98%,,22.5,7,14.5,39.5,7.5,10.5,4,10.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,110,89,21,80.91%,,36,12,21.5,19.5,5.5,7,2,6.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,41.5,34.5,7,83.13%,,18,2,4.5,10,3,1,0.5,2.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,137,112,25,81.75%,,29,18.5,23,41.5,9,3,5,8
,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,67,57.5,9.5,85.82%,,20.5,6,17,14,4.5,1,1.5,2.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ALL CARE,ALL CANCERS,41.5,39.5,2,95.18%,,14,4.5,8.5,12.5,0,2,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,30.5,28.5,2,93.44%,,7.5,5.5,3.5,12,1,1,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,120,94,26,78.33%,,24.5,13.5,18.5,37.5,10,4.5,1,10.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,89,77,12,86.52%,,16,8,19,34,1.5,3.5,2,5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,98.5,89,9.5,90.36%,,32.5,24,16,16.5,1,2,1.5,5
,R1F,ISLE OF WIGHT NHS TRUST,ALL CARE,ALL CANCERS,40,33.5,6.5,83.75%,,13,3,9.5,8,2.5,1.5,0.5,2
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,64,52.5,11.5,82.03%,,15,7,11.5,19,3,4.5,2,2
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,64,45,19,70.31%,,10,1.5,13.5,20,7.5,5,4,2.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,100,82.5,17.5,82.50%,,31,12,14.5,25,6.5,3,3,5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,45.5,43,2.5,94.51%,,19,6.5,10.5,7,0,1,0,1.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,104,86,18,82.69%,,26.5,14.5,12.5,32.5,4,7,2,5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,189,151.5,37.5,80.16%,,45.5,21,26,59,8.5,10,8,11
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ALL CARE,ALL CANCERS,53.5,43.5,10,81.31%,,10,5.5,12.5,15.5,3,2,4.5,0.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,13,10,3,76.92%,,0.5,1.5,3,5,1.5,0.5,0.5,0.5
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,17,15,2,88.24%,,0,0.5,1.5,13,0.5,0.5,1,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,68,55.5,12.5,81.62%,,19,4.5,9,23,3,2.5,4.5,2.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,64.5,61,3.5,94.57%,,22,6,10,23,0,2,1.5,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ALL CARE,ALL CANCERS,94.5,68,26.5,71.96%,,15.5,5,11,36.5,6.5,5,6,9
,RPA,MEDWAY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,76,56.5,19.5,74.34%,,16,9,20,11.5,8,3,2.5,6
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,66.5,56,10.5,84.21%,,23.5,9.5,7,16,4,4,1,1.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ALL CARE,ALL CANCERS,112,80,32,71.43%,,19.5,13,26,21.5,11,8,5,8
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,100,84.5,15.5,84.50%,,23,12,13,36.5,4.5,6.5,1,3.5
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,56.5,54,2.5,95.58%,,6.5,10,16,21.5,1,1,0.5,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,158.5,120.5,38,76.03%,,35,12,29.5,44,16.5,6,6,9.5
,RVJ,NORTH BRISTOL NHS TRUST,ALL CARE,ALL CANCERS,129.5,105.5,24,81.47%,,34.5,15,18.5,37.5,6.5,5,3,9.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,87.5,64.5,23,73.71%,,22,10.5,13,19,8.5,7.5,2,5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,29.5,23,6.5,77.97%,,4,3.5,5.5,10,3.5,0.5,1,1.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,46,37,9,80.43%,,17,3.5,6.5,10,1,1,1.5,5.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,82.5,66.5,16,80.61%,,26.5,7.5,15.5,17,6.5,4,2.5,3
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,46.5,37.5,9,80.65%,,13.5,4.5,8,11.5,2,1,2,4
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,81,69,12,85.19%,,12,5.5,11,40.5,2.5,3,3,3.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,84,72.5,11.5,86.31%,,28,9.5,16.5,18.5,5,2.5,3,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,130.5,101,29.5,77.39%,,24,19,20,38,9.5,6.5,2.5,11
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,176.5,147.5,29,83.57%,,50,15,29.5,53,3.5,9,9.5,7
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,4.5,2,2.5,44.44%,,0,0,0.5,1.5,0,1.5,1,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,134,118,16,88.06%,,28.5,12.5,25,52,7.5,4,2.5,2
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,96,85,11,88.54%,,26,10.5,23.5,25,3,3.5,0,4.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,147.5,118.5,29,80.34%,,32,22,24.5,40,12,5.5,2.5,9
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,84,75,9,89.29%,,31.5,12,13,18.5,2.5,1,1.5,4
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,134,117,17,87.31%,,28.5,9,32,47.5,6,4,1,6
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,94,68.5,25.5,72.87%,,19.5,7,8,34,9.5,5.5,2.5,8
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,6,3.5,2.5,58.33%,,0,0,0,3.5,0,1,0.5,1
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,127.5,105.5,22,82.75%,,56,11,10.5,28,8.5,8,3,2.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,179,144,35,80.45%,,41.5,21,42.5,39,9,12,2.5,11.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,95.5,62,33.5,64.92%,,13,6,15,28,10.5,7.5,5,10.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,43.5,38,5.5,87.36%,,8,6.5,9,14.5,1,1,1.5,2
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,6.5,3.5,3,53.85%,,0,0,0.5,3,0,1,0,2
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57,42.5,14.5,74.56%,,8,6.5,8,20,2,4,3.5,5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,92,79,13,85.87%,,30,11,12,26,8,3,1,1
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,65.5,57.5,8,87.79%,,28,10.5,9,10,2.5,0.5,2,3
,RNZ,SALISBURY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,59.5,54.5,5,91.60%,,23.5,7,13,11,2.5,1,0.5,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,80.5,72,8.5,89.44%,,14,5,14.5,38.5,0,2,3.5,3
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,151.5,117.5,34,77.56%,,34.5,15.5,24,43.5,14.5,7.5,4.5,7.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,66.5,58,8.5,87.22%,,22.5,9,14,12.5,3.5,1,1.5,2.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,116.5,104.5,12,89.70%,,37,17,19.5,31,4.5,3,0.5,4
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,97.5,85.5,12,87.69%,,31,11,12.5,31,3,4,3,2
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,149.5,115.5,34,77.26%,,16,15.5,39.5,44.5,8.5,13,6,6.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,10,7.5,2.5,75.00%,,2,0,3,2.5,0.5,1,0,1
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,57,49.5,7.5,86.84%,,16,6,10.5,17,0.5,3,3,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,64.5,49,15.5,75.97%,,8,11.5,15,14.5,9.5,1,3,2
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,49,42.5,6.5,86.73%,,19.5,5,6,12,1.5,2,0,3
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,60.5,52,8.5,85.95%,,14,8,9,21,4,0,2,2.5
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,60,55,5,91.67%,,22,9,9,15,1.5,0.5,0.5,2.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,52,45,7,86.54%,,11.5,8.5,5.5,19.5,3,1.5,1,1.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,87,75,12,86.21%,,18.5,18.5,9.5,28.5,3.5,5.5,1.5,1.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,50,45.5,4.5,91.00%,,20,1.5,8,16,1.5,1,1,1
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,104,82,22,78.85%,,33,10.5,12.5,26,5,6.5,4,6.5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,89.5,61,28.5,68.16%,,5,7.5,14,34.5,13.5,7.5,4.5,3
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,49,32.5,16.5,66.33%,,5,5,6.5,16,5.5,3,3.5,4.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,87,73,14,83.91%,,21.5,12,11,28.5,4,2.5,1,6.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,31,30,1,96.77%,,13,6.5,4,6.5,0,0,0.5,0.5
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,161,138.5,22.5,86.02%,,56,11,21.5,50,7,5.5,4,6
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,55.5,47.5,8,85.59%,,18,8.5,12.5,8.5,2,4,2,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ALL CARE,ALL CANCERS,72,57,15,79.17%,,14,12,14,17,3,5,3.5,3.5
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,34,28.5,5.5,83.82%,,12,8.5,3.5,4.5,1.5,0.5,1.5,2
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,110.5,92,18.5,83.26%,,36,11.5,17,27.5,5,4.5,3,6
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,62,44.5,17.5,71.77%,,10,6,10,18.5,2.5,5.5,5,4.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,6.5,6.5,0,100.00%,,0.5,1,0,5,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ALL CARE,ALL CANCERS,88,67,21,76.14%,,15.5,6,12.5,33,8.5,5,1.5,6
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ALL CARE,ALL CANCERS,9.5,7,2.5,73.68%,,1,2.5,2,1.5,0.5,0.5,0.5,1
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,163.5,115.5,48,70.64%,,39,17,25,34.5,13.5,15.5,11,8
